Rank,Name,Worldwide,Movies,Average

1,"Steven Spielberg",10649819084,36,295828308
2,"James Cameron",7200499748,14,514321411
3,"Anthony Russo",6843246470,8,855405809
4,"Peter Jackson",6536703723,15,435780248
5,"Michael Bay",6495374196,16,405960887
6,"David Yates",6350769729,10,635076973
7,"Christopher Nolan",4955387330,13,381183641
8,"J.J. Abrams",4648965502,6,774827584
9,"Tim Burton",4413226120,19,232275059
10,"Ridley Scott",4366290985,31,140848096
11,"Robert Zemeckis",4358901752,22,198131898
12,"Jon Favreau",4319399476,9,479933275
13,"Ron Howard",4300805899,33,130327451
14,"Sam Raimi",4260564038,15,284037603
15,"Chris Columbus",4078940358,18,226607798
16,"Roland Emmerich",4015735736,15,267715716
17,"Jon Watts",3922946014,5,784589203
18,"James Wan",3723418759,12,310284897
19,"Bryan Singer",3711840096,10,371184010
20,"Pierre Coffin",3708762824,4,927190706
21,"Gore Verbinski",3682489019,11,334771729
22,"George Lucas",3448142176,6,574690363
23,"Brad Bird",3433470811,6,572245135
24,"Francis Lawrence",3348727127,10,334872713
25,"Clint Eastwood",3332177414,39,85440447
26,"Chris Renaud",3201069776,5,640213955
27,"Todd Phillips",3175831457,11,288711951
28,"Zack Snyder",3170405984,12,264200499
29,"Kyle Balda",3127751798,3,1042583933
30,"M. Night Shyamalan",3108148696,14,222010621
