"id","name","genre","year","score","director","writer","star","company"

1,"Bronco Billy","Action",1980,6.1,25,"Dennis Hackin","Clint Eastwood","Warner Bros." 
2,"Indiana Jones and the Raiders of the Lost Ark","Action",1981,8.4,1,"Lawrence Kasdan","Harrison Ford","Paramount Pictures" 
3,"The Evil Dead","Horror",1981,7.5,14,"Sam Raimi","Bruce Campbell","Renaissance Pictures" 
4,"Blade Runner","Action",1982,8.1,10,"Hampton Fancher","Harrison Ford","The Ladd Company" 
5,"E.T. the Extra-Terrestrial","Family",1982,7.8,1,"Melissa Mathison","Henry Thomas","Universal Pictures"  
7,"Firefox","Action",1982,6,25,"Alex Lasker","Clint Eastwood","Major Studio Partners" 
8,"Night Shift","Comedy",1982,6.6,13,"Lowell Ganz","Henry Winkler","Major Studio Partners" 
9,"Honkytonk Man","Comedy",1982,6.6,25,"Clancy Carlile","Clint Eastwood","The Malpaso Company" 
10,"Sudden Impact","Action",1983,6.6,25,"Harry Julian Fink","Clint Eastwood","Warner Bros." 
11,"The Terminator","Action",1984,8,2,"James Cameron","Arnold Schwarzenegger","Cinema '84" 
12,"Indiana Jones and the Temple of Doom","Action",1984,7.5,1,"Willard Huyck","Harrison Ford","Paramount Pictures" 
14,"Romancing the Stone","Action",1984,6.9,11,"Diane Thomas","Michael Douglas","Twentieth Century Fox" 
15,"Splash","Comedy",1984,6.3,13,"Brian Grazer","Tom Hanks","Touchstone Pictures" 
18,"Back to the Future","Adventure",1985,8.5,11,"Robert Zemeckis","Michael J. Fox","Universal Pictures" 
19,"Cocoon","Comedy",1985,6.7,13,"Tom Benedek","Don Ameche","Twentieth Century Fox" 
20,"Legend","Adventure",1985,6.4,10,"William Hjortsberg","Tom Cruise","Legend Production Company" 
21,"Pale Rider","Drama",1985,7.3,25,"Michael Butler","Clint Eastwood","The Malpaso Company" 
22,"The Color Purple","Drama",1985,7.8,1,"Menno Meyjes","Danny Glover","Amblin Entertainment" 
23,"Pee-wee's Big Adventure","Adventure",1985,7,9,"Phil Hartman","Paul Reubens","Warner Bros." 
24,"Crimewave","Comedy",1985,5.7,14,"Ethan Coen","Louise Lasser","Columbia Pictures" 
25,"Aliens","Action",1986,8.3,2,"James Cameron","Sigourney Weaver","Twentieth Century Fox" 
26,"Heartbreak Ridge","Drama",1986,6.9,25,"James Carabatsos","Clint Eastwood","Jay Weston Productions" 
27,"Gung Ho","Comedy",1986,6.3,13,"Edwin Blum","Michael Keaton","Paramount Pictures" 
28,"Adventures in Babysitting","Adventure",1987,6.9,15,"David Simkins","Elisabeth Shue","Touchstone Pictures" 
29,"Empire of the Sun","Action",1987,7.7,1,"Tom Stoppard","Christian Bale","Amblin Entertainment" 
30,"Evil Dead II","Comedy",1987,7.7,14,"Sam Raimi","Bruce Campbell","Renaissance Pictures" 
31,"Someone to Watch Over Me","Crime",1987,6.1,10,"Howard Franklin","Tom Berenger","Columbia Pictures" 
32,"Beetlejuice","Comedy",1988,7.5,9,"Michael McDowell","Alec Baldwin","The Geffen Company" 
33,"Willow","Action",1988,7.3,13,"George Lucas","Val Kilmer","Metro-Goldwyn-Mayer (MGM)" 
34,"Who Framed Roger Rabbit","Animation",1988,7.7,11,"Gary K. Wolf","Bob Hoskins","Touchstone Pictures" 
35,"Bird","Biography",1988,7.2,25,"Joel Oliansky","Forest Whitaker","The Malpaso Company" 
36,"Heartbreak Hotel","Comedy",1988,5.7,15,"Chris Columbus","David Keith","Silver Screen Partners III" 
37,"Indiana Jones and the Last Crusade","Action",1989,8.2,1,"Jeffrey Boam","Harrison Ford","Paramount Pictures" 
